ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
AYGZT0233,Mosque  Sunni,Syabala,Syabala,,,1.08,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0234,Mosque  Sunni,Bhagalpalle,Bhagalpalle,,,Nil,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0235,Mosque  Sunni,Bhagalpalle,Bhagalpalle,6.13,,6.13,0,0,0,,,,,0,0,0,0, Institution to be identified
AYGZT0236,Mosque  Sunni,Gorlamudiveedu,Gorlamudiveedu,,,0.57,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0237,Mosque  Sunni,Gorlamudiveedu,Gorlamudiveedu,,,0.2,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0239,Ashurkhana Sunni ,Gunnikuntla ,Gunnikuntla ,,,0.16,0,0,0,,,,,0,0,0,0,
AYGZT0240,Ashurkhana  sunni,Mallur,Mallur,,,0.16,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0241,Ashurkhana   Sunni,Routhukunta,Routhukunta,,,4.91,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0242,Ashurkhana  sunni,Vendadi,Vendadi,,,Nil,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0243,Ashurkhana  sunni,Suddamalla,Suddamalla,10,,10,0,0,0,,,,,0,0,0,0,
AYGZT0244,Ashurkhana  sunni,Matli ,Matli ,,,0.43,0,0,0,,,,,0,0,0,0,Need Inspection
AYGZT0246,Ashurkhana  sunni,Suttipalle,Suttipalle,4.56,,4.59,0,0,0,,,,,0,0,0,0,
AYGZT0247,Mosque  Sunni,Madhavaram,Madhavaram,55.78,,55.78,0,0,0,,,,,0,0,0,0,Waqf fund collected as per Audit report. (Attached shop rooms)
AYGZT0250,Mosque Sunni,Hasnapuram,Hasnapuram,,,63.7,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0255,Mosque Sunni,Chinnamandyala,Chinnamandyala,28.1,,28.1,0,0,0,,,,,0,0,0,0, Institution to be identified
AYGZT0256,Mosque  Sunni,Rayachoti,Rayachoti,,,Nil,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0257,Kazi Sevice Sunni ,Mashuthul Khidmat,Mashuthul Khidmat,,,0.5,0,0,0,,,,,0,0,0,0, Institution to be identified
AYGZT0256,Mosque  Sunni,Rayachoti,Rayachoti,,,Nil,0,0,0,,,,,0,0,0,0,
AYGZT2905,Nooralam Makan,Madanapalle Town,Madanapalle Town,,,,0,,0,,,,,0,0,0,0,
AYGZT2906,Tak-Ke-Jhad,Madanapalle Town,Madanapalle Town,,,,0,,0,,,,,0,0,0,0,
AYGZT2907,Hajam Mohalia Makan,Madanapalle Town,Madanapalle Town,,,,0,,0,,,,,0,0,0,0,Ashurkhana building 
AYGZT2912,Uras Peerla Makan,Peddamandyam Mandal,Peddamandyam Mandal,,,,0,,0,,,,,0,0,0,0,waste land
AYGZT2980,Ashoorkhana,"Gollapalli, Ramasamudram Mandal.","Gollapalli, Ramasamudram Mandal.",0,0,0,0,,0,,,,,0,0,0,0,Need Inspection
