ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
GNGZT0826,"Big Mosque, Lalapet, Guntur",186.57,186.57,233.18,419.75,Pesh Imam Branch: Rehana Begum.,0,8800,8800,,,,,0,0,8800,8800,
GNGZT1051,Choti Mosque,Ameenabad,Ameenabad,10.78,0,10.78,17200,8600,25800,3112/63/10-04-2025,132/07-05-2025,17200,8600,25800,0,0,0,Subject to audit arrears increased and current also 
GNGZT0785,Ashoorkhana,Itikampadu,Itikampadu,14.13,0,14.13,8500,8500,17000,3114/63/21-04-2025,134/07-05-2025,8500,,8500,0,8500,8500,
GNGZT0802,Ashoorkhana,Kommuru,Kommuru,12.13,0,12.13,14600,7300,21900,3120/63/23-05-2025,222/29-05-2025,14600,,14600,0,7300,7300,Land Sold out by the Waqf Board
GNGZT0870,Ashoorkhana,Ponekallu,Ponekallu,6.12,0,6.12,0,7120,7120,,,,,0,0,7120,7120,
GNGZT1093,Ashoorkhana,"Munnangi,  Kollipara mandalam, Murukotapuram","Munnangi,  Kollipara mandalam, Murukotapuram",6.96,0,6.96,14200,7100,21300,3124/63/02-06-2025,290/19-06-2025,14200,,14200,0,7100,7100,
GNGZT0817,Ashoorkhana (Bara imam Panja),Guntur,Guntur,0,0,0,7100,7100,14200,"3891/78/19-02-2025, 8607/173/26-07-2025","80/22-04-2025, 451/05/08/2025",7100,7100,14200,0,0,0,
GNSSG0004,Ashoorkhana(Peerla Panja),chebrolu,chebrolu,,,,6300,6300,12600,8614/173/05/08/2025,527/19-08-2025,6300,,6300,0,6300,6300,
GNGZT0867,"Ashoorkhana, Nallapadu",Lands at Ankireddy palem,Lands at Ankireddy palem,8.41,0,8.41,0,5800,5800,,,,,0,0,5800,5800,
GNGZT0835,Ashookhana,Tadikonda,Tadikonda,7.6,0,7.6,0,11400,11400,8625/173/10-09-2025,640/19-09-2025,,11400,11400,0,0,0,Subject to audit
GNGZT0856,Ashoorkhana,Penumuli,Penumuli,0,8.43,8.43,5000,5000,10000,3116/63/25-04-2025,176/15-05-2025,5000,,5000,0,5000,5000,
GNGZT1095,Ashoorkhana,Pidaparru,Pidaparru,7.87,0,7.87,0,5000,5000,,,,,0,0,5000,5000,
GNGZT1050,Ashoorkhana,Ameenabad,Ameenabad,7.43,0,7.43,0,4900,4900,8634/173/25-11-2025,,,7500,7500,0,-2600,-2600,
GNWBU0002,Hzt. Gulzar Shavali Dargah,Guntur,Guntur,0,0,0,0,3360,3360,,,,,0,0,3360,3360,
GNGZT0847,Ashoorkhana,Ravela,Ravela,4.77,0,4.77,6400,7155,13555,8622/173/22-08-2025,554/25-08-2025,6400,2600,9000,0,4555,4555,subject to audit
GNGZT0814,Ashoorkhana,Jupudi,Jupudi,0,3.12,3.12,7230,2550,9780,8619/173/19-08-2025,554/25-08-2025,7230,1770,9000,0,780,780,
GNGZT0841,Ashoorkhana,Kornapadu,Kornapadu,3.13,0,3.13,5000,2500,7500,3113/63/17-04-2025,133/07-05-2025,5000,2500,7500,0,0,0,
GNGZT0783,Idgah,Ponnur,Ponnur,0.06,0,0.06,0,0,0,,,,,0,0,0,0,
