ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
NLGZT0207,"Idgah at Idgahmitta, Santhapeta covered with an extent of Ac1.80 Cents in Sy.No.1473 (New Sy.No.11)",Nellore,Nellore,,,15.64,0,,0,,,,,0,0,0,0,
NLGZT0208,Musthafa Masjid @ Attara Masjid at Chinna Bazar,Nellore,"Pottepalem, Nellore",,,5.61,0,,0,,,,,0,0,0,0,
NLGZT0209,Khateeb Service attached to Kalan Masjid at Fathekhanpet,Nellore,Nellore,,,4.48,0,,0,,,,,0,0,0,0,
NLGZT0212,"Takiya and
Tiled Buildings of 5 Aknams",Nellore,Nellore,,,6.15,0,,0,,,,,0,0,0,0,
NLGZT0218,Anjuman Sunni,Nellore,Nellore,,,2.5,0,,0,,,,,0,0,0,0,
NLGZT0221,Mouzzan Service attached to Jamiya  Masjid at Sikhramvari Street.,Nellore,Nellore,,,7.82,0,,0,,,,,0,0,0,0,
NLGZT0222,Suinni New Masjid at Mulapeta,Nellore,Nellore,,,3.85,0,,0,,,,,0,0,0,0,
NLGZT0227,Khazi Service,Allur,Allur,,,13.64,0,,0,,,,,0,0,0,0,
,Khazi Service,Buchireddipalem,Damaramadgu,,,15.76,0,,0,,,,,0,0,0,0,
NLGZT0242,Ashoorkhana,Sydapuram,Chikabolu,,,3.52,0,,0,,,,,0,0,0,0,
NLGZT0244,Ashoorkhana,Rapur,Nelapalle,,,5.19,0,,0,,,,,0,0,0,0,subject to Audit
NLGZT0246,Ashurkhana,Rapur,Dachur,,,0.85,0,,0,,,,,0,0,0,0,
NLGZT0247,Mosque,Rapur,Masjidpet,,,15.74,0,,0,,,,,0,0,0,0,
NLGZT0248,Dargah,Rapur,Rapur,,,1.63,0,,0,,,,,0,0,0,0,
NLGZT0249,Mosque,Rapur,Rapur,,,21.26,0,,0,,,,,0,0,0,0,
NLGZT0250,Ashoorkhana,Kaluvoya,Parlakonda,,,17.93,0,,0,,,,,0,0,0,0,
NLGZT0251,Ashoorkhana,Rapur,Pembarthi,,,0.41,0,,0,,,,,0,0,0,0,
NLGZT0258,Mosque,Rapur,Rettemala,,,5.84,0,,0,,,,,0,0,0,0,
NLGZT0262,Mosque at Udayagiri,Vinjumur,Chistipuram,,,5,0,,0,,,,,0,0,0,0,
NLGZT0267,Ashoorkhana,Seetharamapuram,Ayyavaripalle,,,0.81,0,,0,,,,,0,0,0,0,
NLGZT0268,Ashoorkhana,Seetharamapuram,Ravyarayadupalli,,,3.68,0,,0,,,,,0,0,0,0,
NLGZT0269,Takiya,Marripadu,Nandavaram,,,10.85,0,,0,,,,,0,0,0,0,
