ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
KLGZT3066,Ashurkhana Sunni,Orvakal,Karakala H/o Uppalapadu,6.34,0,6.34,2400,2400,4800,,,,,0,2400,2400,4800,alienation/encroachment
KLGZT3134,Haji Abuturab Dargah Sunni,Kurnool,Kurnool,28-96,0,28-96,12800,2400,15200,,,,,0,12800,2400,15200,
KLGZT1953,Peerla Panja Sunni,Krishnagiri ,Alamkonda,5.76,0,5.76,8050,2300,10350,,,,,0,8050,2300,10350,
KLGZT1967,Peerla Panja Sunni,Veldurthi,Ramallakota,5.12,0,5.12,7000,2000,9000,,,,,0,7000,2000,9000,alienation house 1 
KLGZT1970,Mosque Sunni,Veldurthi,Ramallakota,4.25,0,4.25,9600,2000,11600,8763/176/04-12-2025,,9600,2000,11600,0,0,0,No Income
KLGZT1976,Peerla Panja Sunni,Veldurthi,Lingalapalli,5.21,0,5.21,7000,2000,9000,,,,,0,7000,2000,9000,
KLGZT2058,Mosque Sunni,Kurnool,Noothanapalli,Apr-45,0,Apr-45,2000,2000,4000,,,,,0,2000,2000,4000,
KLGZT3024,Mosque Sunni,Gudur,Julakallu,9.82,0,9.82,6000,2000,8000,,,,,0,6000,2000,8000,No Income Houses 5
KLGZT3044,Mosque Sunni,Orvakal,Meedivemula,94.97,0,94.97,150000,2000,152000,3126/63/24-07-2025,518/18-08-2025,150000,,150000,0,2000,2000,No Income
KLROW0002,"MOSQUE, KALLUR (V&M)",KALLUR,KALLUR,0,0,0,12000,2000,14000,,,,,0,12000,2000,14000,Under Encraochment
KLGZT3070,Ashurkhana Sunni,Orvakal,Somayazulapalle,4.32,0,4.32,6300,1800,8100,,,,,0,6300,1800,8100,No Income
KLGZT3090,Zinda Bhai Mosque Sunni,Kurnool,Kurnool,104.13,0,104.13,1500,1500,3000,,,,,0,1500,1500,3000,Houses 2
KLGZT3104,Biram Shah Data Takiya Mosque,Kurnool,Kurnool,6.34,0,6.34,7500,1500,9000,,,,,0,7500,1500,9000,No Income
KLGZT3118,Bhimeswar Masjid Sunni,Kurnool,Kurnool,15-49,0,15-49,4500,1500,6000,,,,,0,4500,1500,6000,Subject to Audit
KLGZT1969,Immam Khasim Panja Sunni,Veldurthi,Ramallakota,3.05,0,3.05,4200,1200,5400,,,,,0,4200,1200,5400,
KLGZT2083,Ashurkhana Sunni,Kodumur,Alinagaram H/o Laddagiri,2.71,0,2.71,4200,1200,5400,,,,,0,4200,1200,5400,No Income
KLGZT3052,Mosque Sunni,Kallur,Remadur,0,0,0,4800,1200,4800,,,,,0,4800,1200,6000,no income/acquired/alienation
KLGZT3057,Mosque Sunni,Kurnool,Lanjabhavi now called Lanjapeta H/o Munagalapadu,31-53,0,31-53,4800,1200,6000,,,,,0,4800,1200,6000,no income
KLGZT3011,Kangalshah Khadri Dargah Sunni,Kurnool,G.Singavaram,5.36,0,5.36,2100,1050,3150,3537/71/12-03-2025,67/21-04-2025,1250,0,1250,850,1050,1900,
KLGZT2045,Mosque Sunni,Kurnool,Panchalingala,47-47,0,47-47,80000,1000,81000,8756/176/01-12-2025,,80000,,80000,0,1000,1000,new
KLGZT3069,Mosque Sunni,Orvakal,Sakunala,52.4,0,52.4,4000,1000,5000,,,,,0,4000,1000,5000,Encorachment
KLGZT3151,Tutti Masjid Sunni,Kurnool,Kurnool,shops,0,shops,5382,897,6279,,,,,0,5382,897,6279,House 1
KLGZT3106,Syed Ahamad Pasha Dargah Sunni,Kurnool,Kurnool,shops,0,shops,2500,500,3000,,,,,0,2500,500,3000,NO Income
KLGZT3138,Khader Miah Masjid Sunni,Kurnool,Kurnool,hundi,0,hundi,3000,500,3500,,,,,0,3000,500,3500,
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
 KLGZT3034, Mosque Sunni ,Gudur,Mallapuram,82.94,0,82.94,0,0,0,,,,,0,0,0,0,
KLGZT1874,Peerla Panja Sunni,Krishnagiri ,Penumala H/o kambalpadu,0,0,0,0,0,0,,,,,0,0,0,0,new
KLGZT1875,Mosque Sunni,Krishnagiri ,Kambalapadu,0,0,0,0,0,0,,,,,0,0,0,0,
KLGZT1881,Peerla Panja Sunni,Veldurthi,veldurthi,0,0,0,0,0,0,,,,,0,0,0,0,
KLGZT1884,Peerla Panja Sunni,Veldurthi,Narasapuram,0,0,0,0,0,0,,,,,0,0,0,0,new
KLGZT1900,Mosque Sunni,Krishnagiri ,Amakatadu,0,0,0,0,0,0,,,,,0,0,0,0,
KLGZT1907,Peerla Panja Sunni,Veldurthi,Lanja Banda (Lakshimi Nagaram),0,0,0,0,0,0,,,,,0,0,0,0,
KLGZT1943,Hussain Sahib Ashoor Khana,Veldurthi,Kalugotla,0,0,0,0,0,0,,,,,0,0,0,0,new
KLGZT1944,Immam Khasim Ashoor Khana,Veldurthi,Kalugotla,0,0,0,0,0,0,,,,,0,0,0,0,No Income
KLGZT1956,Mosque Sunni,Krishnagiri ,Krishnagir,36.55,0,36.55,0,0,0,,,,,0,0,0,0,
KLGZT1957,Mosque Sunni,Veldurthi,Govrdhanagiri,53.72,0,53.72,0,0,0,,,,,0,0,0,0,new
KLGZT2027,Masjid Sunni,Kallur,Peddatekur,0,0,0,50000,0,50000,8761/176/03-12-2025,,50000,,50000,0,0,0,No Income
KLGZT2030,Mosque,Kodumur,Kodumur,0,0,0,0,0,0,,,,,0,0,0,0,no income
KLGZT2031,Jamia Masjid Sunni,Kodumur,Kodumur,0,0,0,0,0,0,,,,,0,0,0,0,
KLGZT2032,Ashurkhana Sunni,Kallur,Bastipad,0,0,0,0,0,0,,,,,0,0,0,0,
KLGZT2033,Ashurkhana Sunni,Kallur,Yaparlapadu,0,0,0,0,0,0,,,,,0,0,0,0,No Income
KLGZT2035,Ashurkhana Sunni,Kurnool,Bandi Tandrapad,0,0,0,0,0,0,,,,,0,0,0,0,
